,Em1_A5.1,Em2_A5.1,Em3_A5.1,Em4_A5.1,Em1_A5.2,Em2_A5.2,Em3_A5.2,Em4_A5.2,Em1_a5.3,Em2_a5.3,Em3_a5.3,Em4_a5.3,Em1_a5.4,Em2_a5.4,Em3_a5.4,Em4_a5.4,Em1_B5.1,Em2_B5.1,Em3_B5.1,Em4_B5.1,Em1_B5.2,Em2_B5.2,Em3_B5.2,Em4_B5.2,Em1_b5.3,Em2_b5.3,Em3_b5.3,Em4_b5.3,Em1_b5.4,Em2_b5.4,Em3_b5.4,Em4_b5.4
"ERCC-00002",90614,13622,2950,3690,13068,12926,4720,4430,5885,28049,6296,6236,158290,31175,9736,3993,15559,10959,3347,2541,18169,25257,6412,3807,41898,42556,3565,4226,104386,14505,3749,2191
"ERCC-00003",155,80,123,64,1294,19,138,198,33,117,147,264,357,127,359,190,475,30,122,184,646,96,444,478,594,257,292,247,25,237,275,82
"ERCC-00004",2658,581,456,857,1381,377,258,1196,139,1057,922,1661,11538,992,1301,1022,874,450,449,674,1203,918,846,1324,815,1299,671,1240,3254,1166,565,742
"ERCC-00009",3534,880,151,367,1110,604,394,160,289,1464,451,479,12839,2107,440,258,633,387,241,230,748,1275,1037,236,2533,1817,269,287,4158,869,186,141
"ERCC-00012",16,5,0,16,4,10,0,24,5,19,0,14,8,7,0,19,8,25,4,22,9,17,0,33,6,56,0,26,23,55,1,15
"ERCC-00013",3,0,0,1,5,1,0,3,0,4,1,0,1,1,2,0,2,8,0,1,1,6,16,6,1,5,0,2,2,11,0,5
"ERCC-00014",4,0,1,6,1,0,0,17,2,4,1,2,3,2,0,2,5,1,1,8,7,2,0,13,0,6,1,6,4,13,0,6
"ERCC-00016",0,0,0,0,6,3,0,5,2,5,2,2,0,1,0,2,3,4,1,3,2,2,0,4,2,6,0,2,2,16,0,8
"ERCC-00017",6,1,0,0,1,0,0,0,0,0,0,3,1,3,0,0,4,2,3,4,3,6,0,4,4,8,0,2,6,7,0,0
"ERCC-00019",83,29,2,3,32,13,4,5,100,18,14,5,413,12,2,8,24,11,2,8,26,8,0,12,3,42,3,5,301,46,3,27
"ERCC-00022",627,94,34,47,142,57,82,80,131,225,80,93,1258,224,61,16,68,91,16,55,154,194,51,133,114,429,33,48,744,173,26,6
"ERCC-00024",3,4,0,9,1,1,0,4,2,1,0,10,3,1,0,3,4,10,0,6,4,8,0,7,1,15,0,5,4,12,1,5
"ERCC-00025",120,104,25,2,44,62,7,2,1,116,41,2,163,169,25,36,42,32,11,6,60,146,73,11,200,70,14,16,9,58,32,8
